accuracy,macro_f1,weighted_f1,test_load,seed,model,condition,n_test,train_time_s,complexity
1.0,1.0,1.0,0,302,rcarf_hard,vibration_gain_075,792,11.18204159999732,35657
0.9949494949494949,0.9949483352468427,0.9949483352468428,0,302,rcarf_hard,vibration_gain_050,792,11.18204159999732,35657
0.928030303030303,0.9232387656400814,0.9232387656400814,0,302,rcarf_hard,vibration_gain_025,792,11.18204159999732,35657
0.9343434343434344,0.9327502396719223,0.9327502396719223,0,302,rcarf_hard,electrical_gain_075,792,11.18204159999732,35657
0.9343434343434344,0.932774053858564,0.9327740538585643,0,302,rcarf_hard,electrical_gain_050,792,11.18204159999732,35657
0.9343434343434344,0.932774053858564,0.9327740538585643,0,302,rcarf_hard,electrical_gain_025,792,11.18204159999732,35657
1.0,1.0,1.0,0,302,rcarf_hard,vibration_drift_025rms,792,11.18204159999732,35657
1.0,1.0,1.0,0,302,rcarf_hard,vibration_drift_050rms,792,11.18204159999732,35657
1.0,1.0,1.0,0,302,rcarf_hard,vibration_drift_100rms,792,11.18204159999732,35657
1.0,1.0,1.0,0,302,rcarf_hard,electrical_drift_025rms,792,11.18204159999732,35657
0.9444444444444444,0.9435970088446527,0.9435970088446527,0,302,rcarf_hard,electrical_drift_050rms,792,11.18204159999732,35657
0.9343434343434344,0.932774053858564,0.9327740538585643,0,302,rcarf_hard,electrical_drift_100rms,792,11.18204159999732,35657
1.0,1.0,1.0,0,302,dprf_no_rel_loss,clean_reextract,792,12.165134099952411,52235
0.9141414141414141,0.911671563797312,0.911671563797312,0,302,dprf_no_rel_loss,vibration_missing,792,12.165134099952411,52235
0.9154040404040404,0.9131930308398407,0.9131930308398407,0,302,dprf_no_rel_loss,electrical_missing,792,12.165134099952411,52235
1.0,1.0,1.0,0,302,dprf_no_rel_loss,vibration_gain_075,792,12.165134099952411,52235
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,302,dprf_no_rel_loss,vibration_gain_050,792,12.165134099952411,52235
0.9696969696969697,0.9696232728226263,0.9696232728226265,0,302,dprf_no_rel_loss,vibration_gain_025,792,12.165134099952411,52235
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,302,dprf_no_rel_loss,electrical_gain_075,792,12.165134099952411,52235
0.9962121212121212,0.9962120120985164,0.9962120120985165,0,302,dprf_no_rel_loss,electrical_gain_050,792,12.165134099952411,52235
0.9797979797979798,0.9797565081942841,0.9797565081942841,0,302,dprf_no_rel_loss,electrical_gain_025,792,12.165134099952411,52235
1.0,1.0,1.0,0,302,dprf_no_rel_loss,vibration_drift_025rms,792,12.165134099952411,52235
1.0,1.0,1.0,0,302,dprf_no_rel_loss,vibration_drift_050rms,792,12.165134099952411,52235
1.0,1.0,1.0,0,302,dprf_no_rel_loss,vibration_drift_100rms,792,12.165134099952411,52235
1.0,1.0,1.0,0,302,dprf_no_rel_loss,electrical_drift_025rms,792,12.165134099952411,52235
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,302,dprf_no_rel_loss,electrical_drift_050rms,792,12.165134099952411,52235
0.9053030303030303,0.902116895931444,0.9021168959314441,0,302,dprf_no_rel_loss,electrical_drift_100rms,792,12.165134099952411,52235
1.0,1.0,1.0,0,302,dprf_no_switch_loss,clean_reextract,792,12.039560900011566,52235
0.9255050505050505,0.9256882414458718,0.9256882414458717,0,302,dprf_no_switch_loss,vibration_missing,792,12.039560900011566,52235
0.9255050505050505,0.9230141821897163,0.9230141821897163,0,302,dprf_no_switch_loss,electrical_missing,792,12.039560900011566,52235
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,302,dprf_no_switch_loss,vibration_gain_075,792,12.039560900011566,52235
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,302,dprf_no_switch_loss,vibration_gain_050,792,12.039560900011566,52235
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,302,dprf_no_switch_loss,vibration_gain_025,792,12.039560900011566,52235
0.9255050505050505,0.9230141821897163,0.9230141821897163,0,302,dprf_no_switch_loss,electrical_gain_075,792,12.039560900011566,52235
0.9255050505050505,0.9230141821897163,0.9230141821897163,0,302,dprf_no_switch_loss,electrical_gain_050,792,12.039560900011566,52235
