test_load,seed,model,condition,quality_target_vibration,quality_target_electrical,switch_target,semantic_vibration_mean,semantic_electrical_mean,calibrated_vibration_mean,calibrated_electrical_mean,switch_mean,reliability_vibration_mean,reliability_electrical_mean
555,301,dprf_full,vibration_gain_075,0.75,1.0,0.25,0.7783984541893005,0.22160154581069946,0.7473299503326416,0.2526700794696808,0.22544698417186737,0.7933439016342163,0.9994938373565674
555,301,dprf_full,vibration_gain_050,0.5,1.0,0.5,0.7222379446029663,0.2777620255947113,0.6359777450561523,0.36402222514152527,0.4011688232421875,0.5995332598686218,0.9997836947441101
555,301,dprf_full,vibration_gain_025,0.25,1.0,0.75,0.6992201209068298,0.3007798194885254,0.551278293132782,0.44872167706489563,0.5255945920944214,0.4654565751552582,0.999886691570282
555,301,dprf_full,electrical_gain_075,1.0,0.75,0.25,0.9057884812355042,0.09421148896217346,0.9338672757148743,0.06613274663686752,0.4028016924858093,0.9876636266708374,0.5756666660308838
555,301,dprf_full,electrical_gain_050,1.0,0.5,0.5,0.9845755696296692,0.015424415469169617,0.9922786951065063,0.007721349596977234,0.5106204748153687,0.9999377131462097,0.48588162660598755
555,301,dprf_full,electrical_gain_025,1.0,0.25,0.75,0.9976340532302856,0.0023660208098590374,0.9988964200019836,0.0011035616043955088,0.5125268697738647,0.9999999403953552,0.4653528332710266
555,301,dprf_full,vibration_drift_025rms,0.75,1.0,0.25,0.8391973972320557,0.16080258786678314,0.825345516204834,0.1746545284986496,0.13521036505699158,0.8907009959220886,0.9994183778762817
555,301,dprf_full,vibration_drift_050rms,0.5,1.0,0.5,0.8383897542953491,0.16161026060581207,0.8237671256065369,0.17623288929462433,0.1406286358833313,0.8865638375282288,0.9994149208068848
555,301,dprf_full,vibration_drift_100rms,0.0,1.0,1.0,0.8380643129348755,0.1619356870651245,0.820428729057312,0.17957128584384918,0.1586456596851349,0.872608482837677,0.9992126822471619
555,301,dprf_full,electrical_drift_025rms,1.0,0.75,0.25,0.8540359735488892,0.14596416056156158,0.8426976799964905,0.15730230510234833,0.15853330492973328,0.8937892913818359,0.9950703382492065
555,301,dprf_full,electrical_drift_050rms,1.0,0.5,0.5,0.880714476108551,0.1192854568362236,0.9282025694847107,0.07179741561412811,0.4630480706691742,0.9945843815803528,0.5003954768180847
555,301,dprf_full,electrical_drift_100rms,1.0,0.0,1.0,0.9163652658462524,0.08363474160432816,0.9571060538291931,0.04289388284087181,0.9655956625938416,1.0,0.4467678964138031
555,302,gate_da,clean_reextract,1.0,1.0,0.0,0.6407381296157837,0.3592618703842163,,,,,
555,302,gate_da,vibration_missing,0.0,1.0,1.0,0.03574632108211517,0.9642536640167236,,,,,
555,302,gate_da,electrical_missing,1.0,0.0,1.0,0.9084856510162354,0.09151439368724823,,,,,
555,302,gate_da,vibration_gain_075,0.75,1.0,0.25,0.5784642100334167,0.42153576016426086,,,,,
