accuracy,macro_f1,weighted_f1,test_load,seed,model,condition,fit_time_s
1.0,1.0,1.0,333,302,lr,vibration_drift_100rms,0.12358430004678667
1.0,1.0,1.0,333,302,lr,electrical_drift_025rms,0.12358430004678667
0.9974747474747475,0.9974747112418393,0.9974747112418395,333,302,lr,electrical_drift_050rms,0.12358430004678667
0.6792929292929293,0.6130944005002851,0.613094400500285,333,302,lr,electrical_drift_100rms,0.12358430004678667
1.0,1.0,1.0,333,302,svm_rbf,clean_reextract,0.946049099904485
0.9419191919191919,0.9417695214753811,0.9417695214753812,333,302,svm_rbf,vibration_missing,0.946049099904485
0.9696969696969697,0.9695714501084237,0.9695714501084237,333,302,svm_rbf,electrical_missing,0.946049099904485
0.9987373737373737,0.9987373556209196,0.9987373556209197,333,302,svm_rbf,vibration_gain_075,0.946049099904485
0.9974747474747475,0.9974746025368765,0.9974746025368766,333,302,svm_rbf,vibration_gain_050,0.946049099904485
0.9886363636363636,0.9886024637655383,0.9886024637655384,333,302,svm_rbf,vibration_gain_025,0.946049099904485
0.16666666666666666,0.047619047619047616,0.04761904761904762,333,302,svm_rbf,electrical_gain_075,0.946049099904485
0.9962121212121212,0.9962116320117094,0.9962116320117095,333,302,svm_rbf,electrical_gain_050,0.946049099904485
0.18434343434343434,0.08015416112618094,0.08015416112618093,333,302,svm_rbf,electrical_gain_025,0.946049099904485
1.0,1.0,1.0,333,302,svm_rbf,vibration_drift_025rms,0.946049099904485
0.9974747474747475,0.9974746025368765,0.9974746025368766,333,302,svm_rbf,vibration_drift_050rms,0.946049099904485
0.9962121212121212,0.9962116320117094,0.9962116320117095,333,302,svm_rbf,vibration_drift_100rms,0.946049099904485
1.0,1.0,1.0,333,302,svm_rbf,electrical_drift_025rms,0.946049099904485
0.9987373737373737,0.9987373556209197,0.9987373556209197,333,302,svm_rbf,electrical_drift_050rms,0.946049099904485
0.7058080808080808,0.6698418108159426,0.6698418108159427,333,302,svm_rbf,electrical_drift_100rms,0.946049099904485
0.9886363636363636,0.9886446891821213,0.9886446891821212,333,302,knn,clean_reextract,0.0013500999193638563
0.5808080808080808,0.578354993565615,0.5783549935656149,333,302,knn,vibration_missing,0.0013500999193638563
0.9722222222222222,0.9721881386536758,0.9721881386536758,333,302,knn,electrical_missing,0.0013500999193638563
0.9835858585858586,0.9836022431618924,0.9836022431618926,333,302,knn,vibration_gain_075,0.0013500999193638563
0.9671717171717171,0.9671327933363618,0.9671327933363619,333,302,knn,vibration_gain_050,0.0013500999193638563
0.8939393939393939,0.890008046207765,0.8900080462077649,333,302,knn,vibration_gain_025,0.0013500999193638563
0.5366161616161617,0.5272094038846102,0.5272094038846102,333,302,knn,electrical_gain_075,0.0013500999193638563
0.9861111111111112,0.9861239764677094,0.9861239764677094,333,302,knn,electrical_gain_050,0.0013500999193638563
0.6944444444444444,0.6317053756626964,0.6317053756626962,333,302,knn,electrical_gain_025,0.0013500999193638563
0.9886363636363636,0.9886446891821213,0.9886446891821212,333,302,knn,vibration_drift_025rms,0.0013500999193638563
0.9873737373737373,0.9873820995672838,0.9873820995672838,333,302,knn,vibration_drift_050rms,0.0013500999193638563
0.9861111111111112,0.9860997298202955,0.9860997298202956,333,302,knn,vibration_drift_100rms,0.0013500999193638563
0.9873737373737373,0.9873852027923045,0.9873852027923044,333,302,knn,electrical_drift_025rms,0.0013500999193638563
